date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion,ticker,reason,exit_price,action,new_stop
2025-03-07,6.0,halt_triggered,-6.1284,100000.0,-512842.73,,,,,,,
2025-03-10,6.0,halt_resumed,-5.8686,100000.0,-486860.98,,,,,,,
2025-03-11,6.0,halt_triggered,-5.8268,100000.0,-482679.17000000004,,,,,,,
2025-03-12,1.0,,,,,,,GRPN,overnight_gap_up_25.4pct,12.25,,
2025-03-12,6.0,halt_resumed,-5.8648,100000.0,-486482.94000000006,,,,,,,
2025-03-13,6.0,halt_triggered,-5.8981,100000.0,-489811.99,,,,,,,
2025-03-14,6.0,halt_resumed,-5.924,100000.0,-492397.63,,,,,,,
2025-03-17,6.0,halt_triggered,-5.9265,100000.0,-492651.02,,,,,,,
2025-03-18,6.0,halt_resumed,-5.9376,100000.0,-493756.65,,,,,,,
2025-03-19,1.0,,,,,,,HQY,overnight_gap_down_16.4pct,85.0,,
2025-03-19,6.0,halt_triggered,-5.9757,100000.0,-497568.78,,,,,,,
2025-03-20,6.0,halt_resumed,-5.9958,100000.0,-499583.13,,,,,,,
2025-03-21,6.0,halt_triggered,-6.0321,100000.0,-503207.83999999997,,,,,,,
2025-03-24,6.0,halt_resumed,-6.0145,100000.0,-501448.0,,,,,,,
2025-03-25,1.0,,,,,,,HOLO,overnight_gap_down_12.6pct,38.8,,
2025-03-25,6.0,halt_triggered,-6.0424,100000.0,-504235.72,,,,,,,
2025-03-26,6.0,halt_resumed,-6.0978,100000.0,-509779.82000000007,,,,,,,
2025-03-27,6.0,halt_triggered,-6.1422,100000.0,-514223.43000000005,,,,,,,
2025-03-28,6.0,halt_resumed,-6.2127,100000.0,-521273.81000000006,,,,,,,
2025-03-31,6.0,halt_triggered,-6.202,100000.0,-520195.37,,,,,,,
2025-04-01,6.0,halt_resumed,-6.209,100000.0,-520895.18000000005,,,,,,,
2025-04-02,6.0,halt_triggered,-6.2173,100000.0,-521728.29000000004,,,,,,,
2025-04-03,1.0,,,,,,,CROX,overnight_gap_down_12.1pct,98.05,,
2025-04-03,6.0,halt_resumed,-6.2635,100000.0,-526354.85,,,,,,,
2025-04-04,5.0,,,,,,,ICE,vix_crisis_45.3,,tighten_stop,167.542
2025-04-04,5.0,,,,,,,EEM,vix_crisis_45.3,,tighten_stop,44.992
2025-04-04,5.0,,,,,,,PG,vix_crisis_45.3,,tighten_stop,170.71499999999997
2025-04-04,5.0,,,,,,,V,vix_crisis_45.3,,tighten_stop,344.57449999999994
2025-04-04,5.0,,,,,,,SPY,vix_crisis_45.3,,tighten_stop,582.2834999999999
2025-04-04,5.0,,,,,,,TRV,vix_crisis_45.3,,tighten_stop,253.327
2025-04-04,5.0,,,,,,,PM,vix_crisis_45.3,,tighten_stop,153.9665
2025-04-04,5.0,,,,,,,WELL,vix_crisis_45.3,,tighten_stop,149.017
2025-04-04,5.0,,,,,,,NDAQ,vix_crisis_45.3,,tighten_stop,79.572
2025-04-04,5.0,,,,,,,PAYX,vix_crisis_45.3,,tighten_stop,147.19299999999998
2025-04-04,5.0,,,,,,,TW,vix_crisis_45.3,,tighten_stop,141.56900000000002
2025-04-04,5.0,,,,,,,WM,vix_crisis_45.3,,tighten_stop,224.9885
2025-04-04,5.0,,,,,,,SPGI,vix_crisis_45.3,,tighten_stop,516.5815
2025-04-04,5.0,,,,,,,EQR,vix_crisis_45.3,,tighten_stop,74.176
2025-04-04,5.0,,,,,,,SSNC,vix_crisis_45.3,,tighten_stop,84.67349999999999
2025-04-04,5.0,,,,,,,ADP,vix_crisis_45.3,,tighten_stop,302.70799999999997
2025-04-04,5.0,,,,,,,SYK,vix_crisis_45.3,,tighten_stop,379.905
2025-04-04,5.0,,,,,,,DGX,vix_crisis_45.3,,tighten_stop,168.1025
2025-04-04,5.0,,,,,,,MAA,vix_crisis_45.3,,tighten_stop,162.37399999999997
2025-04-04,5.0,,,,,,,DUK,vix_crisis_45.3,,tighten_stop,117.8475
2025-04-04,5.0,,,,,,,CCEP,vix_crisis_45.3,,tighten_stop,85.329
2025-04-04,5.0,,,,,,,FI,vix_crisis_45.3,,tighten_stop,225.9005
2025-04-04,5.0,,,,,,,VTR,vix_crisis_45.3,,tighten_stop,66.9465
2025-04-04,5.0,,,,,,,COR,vix_crisis_45.3,,tighten_stop,274.892
2025-04-04,5.0,,,,,,,PNW,vix_crisis_45.3,,tighten_stop,90.6585
2025-04-04,5.0,,,,,,,GL,vix_crisis_45.3,,tighten_stop,126.43549999999999
2025-04-04,5.0,,,,,,,GLPI,vix_crisis_45.3,,tighten_stop,49.723
2025-04-04,5.0,,,,,,,PECO,vix_crisis_45.3,,tighten_stop,37.809999999999995
2025-04-04,5.0,,,,,,,LNT,vix_crisis_45.3,,tighten_stop,62.738
2025-04-04,5.0,,,,,,,CNP,vix_crisis_45.3,,tighten_stop,35.492
2025-04-04,5.0,,,,,,,ACLS,vix_crisis_45.3,,tighten_stop,47.0295
2025-04-04,5.0,,,,,,,BJ,vix_crisis_45.3,,tighten_stop,112.56549999999999
2025-04-04,5.0,,,,,,,CVX,vix_crisis_45.3,,tighten_stop,160.0845
2025-04-04,5.0,,,,,,,LKQ,vix_crisis_45.3,,tighten_stop,41.8475
2025-04-04,5.0,,,,,,,MCK,vix_crisis_45.3,,tighten_stop,681.0835
2025-04-04,5.0,,,,,,,CHKP,vix_crisis_45.3,,tighten_stop,219.7445
2025-04-04,5.0,,,,,,,IFF,vix_crisis_45.3,,tighten_stop,80.27250000000001
2025-04-04,5.0,,,,,,,HALO,vix_crisis_45.3,,tighten_stop,61.901999999999994
2025-04-04,5.0,,,,,,,APLS,vix_crisis_45.3,,tighten_stop,22.963500000000003
2025-04-04,5.0,,,,,,,TEX,vix_crisis_45.3,,tighten_stop,37.6215
2025-04-04,5.0,,,,,,,ES,vix_crisis_45.3,,tighten_stop,60.60999999999999
2025-04-04,5.0,,,,,,,VLTO,vix_crisis_45.3,,tighten_stop,98.8475
2025-04-04,5.0,,,,,,,CHX,vix_crisis_45.3,,tighten_stop,29.7065
2025-04-04,5.0,,,,,,,AMGN,vix_crisis_45.3,,tighten_stop,310.992
2025-04-04,5.0,,,,,,,HESM,vix_crisis_45.3,,tighten_stop,41.686
2025-04-04,5.0,,,,,,,STE,vix_crisis_45.3,,tighten_stop,221.103
2025-04-04,5.0,,,,,,,OI,vix_crisis_45.3,,tighten_stop,11.646999999999998
2025-04-04,5.0,,,,,,,CINF,vix_crisis_45.3,,tighten_stop,140.4195
2025-04-04,5.0,,,,,,,ACGL,vix_crisis_45.3,,tighten_stop,92.09299999999999
