strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
risk_off_bond_equity_short,atr_trail_2x,yes,33,0.24242424242424243,-2.9679787878787875,-97.9433
risk_off_bond_equity_short,atr_trail_mae_conditional,yes,33,0.18181818181818182,-1.5992696969696971,-52.77590000000001
risk_off_bond_equity_short,atr_trail_vix_conditional,yes,33,0.24242424242424243,-1.4792121212121214,-48.81400000000001
risk_off_bond_equity_short,break_even_at_1r,yes,33,0.09090909090909091,-1.7478272727272728,-57.6783
risk_off_bond_equity_short,breakeven_plus_trail,yes,33,0.30303030303030304,2.0823363636363634,68.71709999999999
risk_off_bond_equity_short,chandelier_3x,yes,33,0.09090909090909091,-1.3094515151515151,-43.2119
risk_off_bond_equity_short,class_time_stop,yes,33,0.5151515151515151,-7.114175757575757,-234.7678
risk_off_bond_equity_short,earnings_blackout,yes,33,0.3939393939393939,-14.247515151515152,-470.168
risk_off_bond_equity_short,fixed_4r_2r,yes,33,0.30303030303030304,0.9669757575757579,31.91020000000001
risk_off_bond_equity_short,hybrid_50pct_target,yes,33,0.8181818181818182,-37.89584545454545,-1250.5629
risk_off_bond_equity_short,ma_exit_ema9,yes,33,0.2727272727272727,-0.49082727272727267,-16.1973
risk_off_bond_equity_short,mfe_lockin_trail,yes,33,0.18181818181818182,-1.6832242424242425,-55.546400000000006
risk_off_bond_equity_short,multi_tier_partial,yes,33,0.3333333333333333,-1.2861848484848486,-42.444100000000006
risk_off_bond_equity_short,next_pivot_target,yes,33,0.7272727272727273,0.18837575757575759,6.2164
risk_off_bond_equity_short,r_multiple_2r,yes,33,0.36363636363636365,0.9929727272727273,32.768100000000004
risk_off_bond_equity_short,r_multiple_3r,yes,33,0.21212121212121213,-0.24153636363636374,-7.9707000000000034
risk_off_bond_equity_short,regime_flip,yes,33,0.42424242424242425,-0.26330303030303054,-8.689000000000007
risk_off_bond_equity_short,reverse_signal,yes,33,0.18181818181818182,-1.5992696969696971,-52.77590000000001
risk_off_bond_equity_short,smc_mitigation_zone,yes,33,0.18181818181818182,-1.5992696969696971,-52.77590000000001
risk_off_bond_equity_short,time_stop_10d,yes,33,0.42424242424242425,0.021709090909090914,0.7164000000000001
risk_off_bond_equity_short,time_stop_20d,yes,33,0.42424242424242425,-0.26330303030303054,-8.689000000000007
risk_off_bond_equity_short,trailing_10pct,yes,33,0.24242424242424243,-2.909060606060606,-95.999
risk_off_bond_equity_short,trailing_15pct,yes,33,0.30303030303030304,-1.3867363636363637,-45.7623
risk_off_bond_equity_short,trailing_5pct,yes,33,0.09090909090909091,-2.122424242424242,-70.03999999999999
roc_burst,atr_trail_1x,yes,15,0.13333333333333333,-4.5893,-68.8395
roc_burst,atr_trail_2x,yes,15,0.2,-7.13762,-107.0643
roc_burst,atr_trail_mae_conditional,yes,15,0.13333333333333333,-4.5893,-68.8395
roc_burst,atr_trail_vix_conditional,yes,15,0.06666666666666667,-5.419106666666666,-81.28659999999999
roc_burst,break_even_at_1r,yes,15,0.0,-5.15872,-77.3808
roc_burst,breakeven_plus_trail,yes,15,0.3333333333333333,78.68041999999998,1180.2062999999998
roc_burst,chandelier_3x,yes,15,0.13333333333333333,-4.7283,-70.9245
roc_burst,class_time_stop,yes,15,0.6666666666666666,0.1470599999999999,2.205899999999999
roc_burst,earnings_blackout,yes,15,0.3333333333333333,40.75882,611.3823
roc_burst,fixed_4r_2r,yes,15,0.3333333333333333,-3.8040999999999996,-57.061499999999995
roc_burst,hybrid_50pct_target,yes,15,0.4,-0.7235599999999998,-10.853399999999997
roc_burst,ma_exit_ema9,yes,15,0.0,-4.342006666666666,-65.1301
roc_burst,mfe_lockin_trail,yes,15,0.13333333333333333,-4.5893,-68.8395
roc_burst,multi_tier_partial,yes,15,0.26666666666666666,-4.08788,-61.3182
roc_burst,next_pivot_target,yes,15,0.5333333333333333,-3.666706666666667,-55.0006
roc_burst,r_multiple_2r,yes,15,0.2,-3.941173333333333,-59.117599999999996
roc_burst,r_multiple_3r,yes,15,0.2,-3.4532999999999996,-51.799499999999995
roc_burst,regime_flip,yes,15,0.4,-2.540993333333333,-38.1149
roc_burst,reverse_signal,yes,15,0.13333333333333333,-4.5893,-68.8395
roc_burst,smc_mitigation_zone,yes,15,0.13333333333333333,-4.5893,-68.8395
roc_burst,time_stop_10d,yes,15,0.26666666666666666,-6.25034,-93.7551
roc_burst,time_stop_20d,yes,15,0.4,-2.540993333333333,-38.1149
roc_burst,trailing_10pct,yes,15,0.2,-4.968593333333333,-74.5289
roc_burst,trailing_15pct,yes,15,0.2,-2.027086666666666,-30.406299999999987
roc_burst,trailing_5pct,yes,15,0.06666666666666667,-3.61394,-54.2091
squeeze_breakout,atr_trail_1x,yes,36,0.16666666666666666,-3.1548416666666665,-113.5743
squeeze_breakout,atr_trail_2x,yes,36,0.3888888888888889,-1.1179638888888892,-40.24670000000001
squeeze_breakout,atr_trail_mae_conditional,yes,36,0.16666666666666666,-3.1548416666666665,-113.5743
squeeze_breakout,atr_trail_vix_conditional,yes,36,0.2777777777777778,-1.7915444444444444,-64.4956
squeeze_breakout,break_even_at_1r,yes,36,0.027777777777777776,-3.1986833333333333,-115.15259999999999
squeeze_breakout,breakeven_plus_trail,yes,36,0.4722222222222222,5.027141666666667,180.9771
squeeze_breakout,chandelier_3x,yes,36,0.08333333333333333,-2.96315,-106.6734
squeeze_breakout,class_time_stop,yes,36,0.6111111111111112,1.8973805555555556,68.3057
squeeze_breakout,earnings_blackout,yes,36,0.6111111111111112,8.152838888888887,293.50219999999996
squeeze_breakout,fixed_4r_2r,yes,36,0.4444444444444444,1.9039083333333329,68.54069999999999
squeeze_breakout,hybrid_50pct_target,yes,36,0.5,1.794922222222222,64.6172
squeeze_breakout,ma_exit_ema9,yes,36,0.2777777777777778,-1.7637111111111112,-63.4936
squeeze_breakout,mfe_lockin_trail,yes,36,0.16666666666666666,-3.1023944444444442,-111.6862
squeeze_breakout,multi_tier_partial,yes,36,0.4444444444444444,-2.1119222222222223,-76.0292
squeeze_breakout,next_pivot_target,yes,36,0.6944444444444444,0.9573361111111112,34.4641
squeeze_breakout,r_multiple_2r,yes,36,0.2222222222222222,-2.317975,-83.4471
squeeze_breakout,r_multiple_3r,yes,36,0.1388888888888889,-2.8674305555555555,-103.22749999999999
