date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2025-12-16,halt_triggered,,,6.0,-0.4572,101328.74,54998.87,,,,,
2025-12-18,,,,1.0,,,,INSM,overnight_gap_down_15.5pct,167.75,,
2025-12-18,halt_resumed,,,6.0,-0.4035,101328.74,60440.19,,,,,
2025-12-19,halt_triggered,,,6.0,-0.4035,101328.74,60440.19,,,,,
2026-02-18,halt_triggered,,,6.0,-0.4596,101328.74,54753.88,,,,,
2026-04-21,halt_triggered,,,6.0,-0.4656,101328.74,54148.25,,,,,
2022-05-13,,,,1.0,,,,AOSL,overnight_gap_up_15.2pct,38.23,,
2022-07-05,dispersion_cb_triggered_dec128,3.6902,0.058008,,,,,,,,,
2022-07-28,dispersion_cb_triggered_dec128,4.4675,0.07625,,,,,,,,,
2022-11-04,dispersion_cb_triggered_dec128,3.4633,0.053133,,,,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,4.0659,0.066356,,,,,,,,,
2023-01-06,dispersion_cb_triggered_dec128,8.3308,0.102607,,,,,,,,,
2023-01-10,,,,1.0,,,,FRO,overnight_gap_up_24.0pct,14.05,,
2023-02-06,halt_triggered,,,6.0,-0.2098,107702.64,85108.74,,,,,
2023-02-22,,,,1.0,,,,KEYS,overnight_gap_down_12.2pct,160.65,,
2023-04-11,halt_triggered,,,6.0,-0.2277,107702.64,83180.5,,,,,
2023-06-13,halt_triggered,,,6.0,-0.2342,107702.64,82479.51,,,,,
2023-08-15,halt_triggered,,,6.0,-0.2308,107702.64,82846.29000000001,,,,,
2023-10-03,halt_resumed,,,6.0,-0.2076,107702.64,85342.42,,,,,
2023-10-04,halt_triggered,,,6.0,-0.2076,107702.64,85342.42,,,,,
2023-12-14,halt_triggered,,,6.0,-0.2098,107702.64,85110.01,,,,,
2024-02-13,halt_triggered,,,6.0,-0.2347,107702.64,82426.31,,,,,
2024-03-01,,,,1.0,,,,ESTC,overnight_gap_down_13.3pct,115.96,,
2024-03-15,halt_resumed,,,6.0,-0.2095,107702.64,85137.58,,,,,
2024-03-15,dispersion_cb_triggered_dec128,10.0,0.116174,,,,,,,,,
2024-03-18,halt_triggered,,,6.0,-0.2095,107702.64,85137.58,,,,,
2024-05-20,halt_triggered,,,6.0,-0.219,107702.64,84114.39,,,,,
2024-06-04,halt_resumed,,,6.0,-0.1953,107702.64,86669.62,,,,,
2024-06-06,halt_triggered,,,6.0,-0.2012,107702.64,86038.02,,,,,
2024-08-06,halt_triggered,,,6.0,-0.2007,107702.64,86091.96,,,,,
2024-10-07,dispersion_cb_triggered_dec128,10.0,0.541206,,,,,,,,,
2024-10-16,halt_triggered,,,6.0,-0.218,107702.64,84219.27,,,,,
2024-10-29,halt_resumed,,,6.0,-0.1895,107702.64,87295.8,,,,,
2024-11-06,dispersion_cb_triggered_dec128,3.8722,0.053612,,,,,,,,,
2024-11-07,,,,1.0,,,,CDLX,overnight_gap_down_30.1pct,3.64,,
2024-11-07,halt_triggered,,,6.0,-0.2021,107702.64,85936.65,,,,,
2024-12-03,halt_resumed,,,6.0,-0.1079,107702.64,96079.4,,,,,
2025-01-08,,,,1.0,,,,WIMI,overnight_gap_down_20.3pct,14.5,,
2025-01-27,,,,1.0,,,,CLS,overnight_gap_down_13.2pct,105.63,,
2025-02-28,,,,1.0,,,,RKLB,overnight_gap_down_17.5pct,16.36,,
2025-04-03,dispersion_cb_triggered_dec128,6.1737,0.064928,,,,,,,,,
2025-04-04,,,,5.0,,,,BRO,vix_crisis_45.3,,tighten_stop,118.2085
2025-04-04,,,,5.0,,,,SPY,vix_crisis_45.3,,tighten_stop,582.2834999999999
2025-04-04,,,,5.0,,,,DOW,vix_crisis_45.3,,tighten_stop,33.033
2025-04-04,,,,5.0,,,,TLT,vix_crisis_45.3,,tighten_stop,89.5545
2025-04-04,,,,5.0,,,,OI,vix_crisis_45.3,,tighten_stop,11.770500000000002
2025-04-04,,,,5.0,,,,ENTA,vix_crisis_45.3,,tighten_stop,5.3025
2025-04-04,,,,5.0,,,,TROW,vix_crisis_45.3,,tighten_stop,90.531
2025-04-04,,,,5.0,,,,CRK,vix_crisis_45.3,,tighten_stop,20.70852
2025-04-04,,,,5.0,,,,AIG,vix_crisis_45.3,,tighten_stop,83.33399999999999
2025-04-04,,,,5.0,,,,GNW,vix_crisis_45.3,,tighten_stop,7.010999999999999
2025-04-04,,,,5.0,,,,NFLX,vix_crisis_45.3,,tighten_stop,94.7416
2025-04-04,,,,5.0,,,,HASI,vix_crisis_45.3,,tighten_stop,28.190015
2025-04-04,,,,5.0,,,,NOG,vix_crisis_45.3,,tighten_stop,27.258000000000003
2025-04-07,,,,5.0,,,,DOW,vix_crisis_47.0,,tighten_stop,29.61
