# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AVDL,,Unknown,2026-02-02,2026-03-02,1.820681,,21.55
AVEO,,Unknown,2022-12-01,2023-02-01,1.995968,,14.86
AVPT,,Information Technology,2024-01-01,2024-02-01,1.11378,,16.72
AVPT,,Information Technology,2025-02-03,2025-05-01,1.11378,,16.72
AVTX,,Health Care,2026-05-01,,1.905858,,13.89
AVXL,,Health Care,2025-05-01,2025-06-02,1.773256,,9.54
AXGN,,Health Care,2025-04-01,2025-06-02,1.864253,,18.99
AXON,,Industrials,2023-05-01,2023-06-01,0.928622,,218.59
AXSM,,Health Care,2022-09-01,2022-11-01,0.722355,,72.27
AXSM,,Health Care,2023-01-02,2023-09-01,0.722355,,72.27
AXSM,,Health Care,2023-11-01,2023-12-01,0.722355,,72.27
AXTI,,Information Technology,2025-12-01,2026-02-02,3.583333,,10.45
AZEK,,Unknown,2023-10-02,2023-11-01,1.019509,,32.09
AZPN,,Unknown,2022-10-03,2023-02-01,0.518224,,230.77
AZZ,,Industrials,2024-06-03,2024-08-01,1.021022,,84.6
BANF,,Financials,2022-08-01,2022-12-01,0.430781,,90.64
BATL,,Energy,2026-05-01,,3.679104,,6.27
BBAI,,Information Technology,2025-04-01,2025-05-01,2.349057,,7.1
BBAI,,Information Technology,2025-08-01,2026-01-01,2.349057,,7.1
BBIO,,Health Care,2023-06-01,2023-07-03,1.562344,,71.72
BBIO,,Health Care,2023-09-01,2024-05-01,1.562344,,71.72
BBIO,,Health Care,2025-12-01,2026-02-02,1.562344,,71.72
BBW,,Consumer Discretionary,2023-10-02,2023-12-01,0.700176,,28.92
BCC,,Industrials,2024-05-01,2024-06-03,1.280757,,151.83
BCPC,,Materials,2022-07-01,2022-08-01,4.5692,,139.23
BCPC,,Materials,2023-02-01,2023-04-03,4.5692,,139.23
BCPC,,Materials,2024-03-01,2024-04-01,4.5692,,139.23
BCPC,,Materials,2024-06-03,2024-07-01,4.5692,,139.23
BDC,,Materials,2023-05-01,2023-06-01,0.69373,,84.28
BDTX,,Health Care,2024-06-03,2024-07-01,2.153226,,5.87
BE,,Industrials,2025-03-03,2025-06-02,3.333824,,88.41
BE,,Industrials,2025-09-01,2025-11-03,3.333824,,88.41
BE,,Industrials,2025-12-01,2026-03-02,3.333824,,88.41
BELFA,,Information Technology,2026-05-01,,1.862613,,190.65
BELFB,,Information Technology,2022-09-01,2022-10-03,1.858166,,203.53
BELFB,,Information Technology,2023-06-01,2023-10-02,1.858166,,203.53
BELFB,,Information Technology,2024-02-01,2024-03-01,1.858166,,203.53
BELFB,,Information Technology,2026-04-01,,1.858166,,203.53
BETR,,Financials,2025-11-03,2026-03-02,2.436052,,34.12
BFRG,,Health Care,2024-03-01,2024-04-01,1.17284,,7.04
BHC,,Health Care,2023-09-01,2023-10-02,0.849421,,9.58
BHVN,,Health Care,2023-11-01,2024-07-01,1.085039,,39.72
