# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
BPMC,,,2024-09-02,2024-10-01,1.258751,,110.34
BPT,,,2022-07-01,2022-08-01,0.72843,,12.22
BPT,,,2022-10-03,2022-11-01,0.72843,,12.22
BPT,,,2022-12-01,2023-03-01,0.72843,,12.22
BRBR,,,2023-12-01,2024-01-01,1.036131,,55.79
BRBR,,,2024-02-01,2024-03-01,1.036131,,55.79
BRG,,,2022-08-01,2022-12-01,0.933094,,26.87
BROS,,,2025-04-01,2025-06-02,1.273872,,65.01
BRZE,,,2023-12-01,2024-02-01,1.135157,,53.08
BSM,,,2023-01-02,2023-02-01,0.715363,,18.2
BTAI,,,2023-03-01,2023-04-03,0.714207,,498.08
BTBT,,,2024-02-01,2024-03-01,2.486301,,5.09
BTCL,,,2025-09-01,2025-10-01,1.417813,,63.25
BTCS,,,2025-09-01,2025-10-01,3.264463,,5.16
BTCT,,,2025-01-01,2025-02-03,2.394004,,15.85
BTDR,,,2025-02-03,2025-03-03,1.482183,,22.29
BTM,,,2025-08-01,2025-09-01,1.913793,,35.49
BTOG,,,2024-08-01,2024-09-02,1.844768,,319.2
BTSG,,,2025-03-03,2025-04-01,1.166821,,23.38
BTSG,,,2025-07-01,2025-08-01,1.166821,,23.38
BTU,,,2022-06-01,2022-09-01,2.139905,,39.5
BTU,,,2022-10-03,2023-04-03,2.139905,,39.5
BTU,,,2026-05-01,,2.139905,,39.5
BULZ,,,2023-10-02,2024-06-03,1.633607,,14.76
BULZ,,,2024-08-01,2024-09-02,1.633607,,14.76
BULZ,,,2024-11-01,2024-12-02,1.633607,,14.76
