strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,trailing_15pct,49,4,0.25,-6.2734749999999995,-25.093899999999998
bollinger_lower,trailing_15pct,50,1,0.0,-15.0,-15.0
bollinger_lower,trailing_15pct,51,1,0.0,-15.0,-15.0
bollinger_lower,trailing_15pct,52,1,0.0,-11.7204,-11.7204
bollinger_lower,trailing_15pct,53,2,1.0,12.2639,24.5278
bollinger_lower,trailing_15pct,54,3,0.3333333333333333,2.440533333333333,7.3216
bollinger_lower,trailing_15pct,55,3,0.6666666666666666,2.775933333333333,8.3278
bollinger_lower,trailing_15pct,56,7,0.14285714285714285,-7.0498,-49.348600000000005
bollinger_lower,trailing_15pct,57,2,0.0,-6.0127500000000005,-12.025500000000001
bollinger_lower,trailing_15pct,59,2,0.0,-11.694099999999999,-23.388199999999998
bollinger_lower,trailing_15pct,60,1,0.0,-10.6898,-10.6898
bollinger_lower,trailing_15pct,61,4,0.25,-2.999925,-11.9997
bollinger_lower,trailing_15pct,62,1,1.0,1.9666,1.9666
bollinger_lower,trailing_15pct,63,3,0.3333333333333333,-4.3124666666666664,-12.9374
bollinger_lower,trailing_15pct,64,2,0.5,-4.0592,-8.1184
bollinger_lower,trailing_15pct,68,1,1.0,7.9256,7.9256
bollinger_lower,trailing_15pct,70,2,0.5,7.6761,15.3522
bollinger_lower,trailing_15pct,72,2,1.0,30.7788,61.5576
bollinger_lower,trailing_15pct,73,2,1.0,18.541,37.082
bollinger_lower,trailing_15pct,74,2,0.5,12.34605,24.6921
bollinger_lower,trailing_15pct,75,1,1.0,18.6513,18.6513
bollinger_lower,trailing_15pct,76,4,0.0,-6.0745000000000005,-24.298000000000002
bollinger_lower,trailing_15pct,77,1,0.0,-10.9448,-10.9448
bollinger_lower,trailing_15pct,78,3,1.0,18.761733333333332,56.285199999999996
bollinger_lower,trailing_15pct,80,2,0.5,1.0264499999999999,2.0528999999999997
bollinger_lower,trailing_15pct,81,3,0.0,-13.4702,-40.4106
bollinger_lower,trailing_15pct,82,2,0.5,2.4242,4.8484
