strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
institutional_buy_momentum_long,long,unknown,80,MARGINAL,"bear,bull,neutral",bull,False,False,"institutional_buy,macd_12_26_9_bullish,price_above_ema_50",REVIEW_NEEDED,
smc_choch_reversal,dual,unknown,73,MARGINAL,"bear,bull,neutral",,False,False,"smc_choch_bearish,smc_choch_bullish,smc_fvg_bearish_active,smc_fvg_bullish_active",REVIEW_NEEDED,
cpr_narrow_momentum_short,short,unknown,61,MARGINAL,"bear,bull,neutral","bear,crisis,neutral",False,True,"below_cpr,cpr_narrow_tight,macd_12_26_9_bearish,rsi_14",EXPLORATORY_INTENTIONAL,
awesome_oscillator,dual,unknown,59,MARGINAL,"bear,bull,neutral",bear,False,False,"ao_cross_dn,ao_cross_up,below_ema_20,price_above_ema_20",REVIEW_NEEDED,
smc_bos_retest_entry,dual,unknown,56,MARGINAL,"bear,bull,neutral","bear,bull,crisis,neutral",False,False,"below_ema_200,price_above_ema_200,smc_bos_retest_long,smc_bos_retest_short",REVIEW_NEEDED,
naked_poc_retest_long,long,unknown,52,MARGINAL,"bear,bull,neutral","bull,neutral",False,False,"naked_poc_count,naked_poc_nearest_distance_pct,price_above_ema_200",REVIEW_NEEDED,
donchian_breakout_retest_long,long,unknown,50,MARGINAL,"bear,bull,neutral",,False,False,"close_above_open,close_in_top_40pct_of_range,dc20_resistance_break_retest_strong,macd_12_26_9_bullish,vol_below_avg",REVIEW_NEEDED,
parabolic_sar_flip,dual,unknown,50,MARGINAL,"bear,bull,neutral",bear,False,False,"adx_trending,psar_flip_dn,psar_flip_up",REVIEW_NEEDED,
institutional_persistent_holders_long,long,unknown,49,MARGINAL,"bear,bull,neutral",,False,False,"institutional_increased,price_above_ema_200",REVIEW_NEEDED,
ppo_crossover,dual,unknown,48,MARGINAL,"bear,bull,neutral",bear,False,False,"adx_trending,ppo_crossover_dn,ppo_crossover_up",REVIEW_NEEDED,
institutional_strong_conviction_long,long,unknown,47,MARGINAL,"bear,bull,neutral",,False,False,"institutional_increased,institutional_new_positions,price_above_ema_200",REVIEW_NEEDED,
hull_rsi,dual,unknown,46,MARGINAL,"bear,bull",,False,False,"adx,adx_trending,below_ema_200_break_recent_5d,hull_bearish,hull_bullish,price_above_ema_200_break_recent_5d,price_above_hull,price_below_hull",REVIEW_NEEDED,
break_retest_volume,dual,unknown,44,MARGINAL,"bear,bull,neutral",,False,False,"close_above_open,close_below_open,close_in_bottom_40pct_of_range,close_in_top_40pct_of_range,obv_bearish,obv_bullish,resistance_break_retest,support_break_retest,vol_below_avg",REVIEW_NEEDED,
smc_equal_lows_sweep_long,long,unknown,41,MARGINAL,"bear,bull,neutral","bear,bull,neutral",False,False,"smc_equal_lows_swept,smc_fvg_bullish_active",REVIEW_NEEDED,
